transform,target_column,reaction_id,reaction_label,skewness,kurtosis,std,mean
raw_rate_const,rate_const_001,1,AR3S-ELASTIC,-0.7108331275269053,-0.9965944726985909,6.615178137251452e-08,1.1254105747126438e-07
raw_rate_const,rate_const_002,2,AR3S > AR4SM,0.0,0.0,2.25694981355809e-10,1.5015061194277488e-10
raw_rate_const,rate_const_003,3,AR3S > AR4SR,0.0,0.0,3.128295245517132e-10,1.9824647811227409e-10
raw_rate_const,rate_const_004,4,AR3S > AR4SPM,0.0,0.0,4.0964299447250185e-11,2.724918705874227e-11
raw_rate_const,rate_const_005,5,AR3S > AR4SPR,0.0,0.0,6.224555701084699e-10,3.198458871090552e-10
raw_rate_const,rate_const_006,6,AR3S > AR4P,0.0,0.0,1.2398812274969006e-09,7.247078145228244e-10
raw_rate_const,rate_const_007,7,AR3S > AR3D,0.0,0.0,7.033477091219747e-10,3.65283615540243e-10
raw_rate_const,rate_const_008,8,AR3S > AR5S,0.0,0.0,1.3210280708462594e-10,6.753759075649063e-11
raw_rate_const,rate_const_009,9,AR3S > AR5P,0.0,0.0,3.9437036550450844e-10,2.0426499581242182e-10
raw_rate_const,rate_const_010,10,AR3S > AR4D,0.0,0.0,1.0557949341666773e-10,4.37584090858834e-11
raw_rate_const,rate_const_011,11,AR3S > AR6S,0.0,0.0,4.8495064720645114e-11,1.9954597222058727e-11
raw_rate_const,rate_const_012,12,AR3S > AR-RYD,0.0,0.0,7.189527330239469e-11,2.932165258649382e-11
raw_rate_const,rate_const_013,13,AR3S > AR^,3.151144792885629,9.14334573521705,4.047726933763688e-09,1.5674212763699763e-09
raw_rate_const,rate_const_014,14,AR3S > AR^^,0.0,0.0,3.393074586593428e-11,9.181875585089358e-12
raw_rate_const,rate_const_015,15,AR4SM-ELASTIC,-0.750512360123141,-0.4309347982249947,2.868781085393859e-07,6.164437766830871e-07
raw_rate_const,rate_const_016,16,AR4SM > AR3S,0.0,0.0,2.298044203882697e-10,4.968797536945813e-10
raw_rate_const,rate_const_017,17,AR4SM > AR4SR,-1.8081148538993592,1.4230545712588327,5.285232210480705e-08,1.657823316912972e-07
raw_rate_const,rate_const_018,18,AR4SM > AR4SPM,0.0,0.0,2.2510122102944976e-09,5.146660901477832e-09
raw_rate_const,rate_const_019,19,AR4SM > AR4SPR,-1.60838421025125,0.6960528629907632,6.882454050187941e-09,1.4970552336235798e-08
raw_rate_const,rate_const_020,20,"AR4SM>AR4P,3D,5S,5P",-1.041955078607177,-0.5846964330189888,7.814073868633175e-08,1.41673358537422e-07
raw_rate_const,rate_const_021,21,"AR4SM > AR4D,6S,RYD",-0.6293630747223262,-1.0171681098623448,1.783697591040169e-08,2.8956168469622332e-08
raw_rate_const,rate_const_022,22,AR4SM > AR^,0.17914335318780442,-0.8419790930049786,2.8408565999693464e-08,3.76806211338046e-08
raw_rate_const,rate_const_023,23,AR4SR-ELASTIC,-0.06732283278799651,-0.5267714695391419,1.9538595596267057e-07,6.795474548440066e-07
raw_rate_const,rate_const_024,24,AR4SR > AR3S,0.0,0.0,3.945616245514248e-10,9.89996223316913e-10
raw_rate_const,rate_const_025,25,AR4SR > AR4SM,1.3976399711299003,0.2650080346549024,2.1593224392360036e-08,3.32271921182266e-07
raw_rate_const,rate_const_026,26,AR4SR > AR4SPM,0.0,0.0,3.0929778568416894e-09,9.081885057471264e-09
raw_rate_const,rate_const_027,27,AR4SR > AR4SPR,-1.6654601071612298,0.8872662101694098,1.1302215950309712e-08,2.5533215484400656e-08
raw_rate_const,rate_const_028,28,"AR4SR>AR4P,3D,5S,5P",-1.0739737136423237,-0.5384291059180333,8.4878535972115e-08,1.5513720501691297e-07
raw_rate_const,rate_const_029,29,"AR4SR > AR4D,6S,RYD",-0.6492905605025299,-1.004274995726122,1.831139536056287e-08,2.988767378981937e-08
raw_rate_const,rate_const_030,30,AR4SR > AR^,0.1429133325479256,-0.873377988660641,2.959485536916985e-08,3.963351531592775e-08
raw_rate_const,rate_const_031,31,AR4SPM-ELASTIC,-0.6567722179090186,-0.4454930351431856,2.661774482369219e-07,6.301745484400657e-07
raw_rate_const,rate_const_032,32,AR4SPM > AR3S,0.0,0.0,2.149448515341494e-10,4.713132840722497e-10
raw_rate_const,rate_const_033,33,AR4SPM > AR4SM,0.0,0.0,2.159322439236004e-09,3.32271921182266e-08
raw_rate_const,rate_const_034,34,AR4SPM > AR4SR,0.0,0.0,2.159322439236004e-09,3.32271921182266e-08
raw_rate_const,rate_const_035,35,AR4SPM > AR4SPR,2.477052555521037,6.068486330444546,2.5312095615929377e-08,7.011282430213465e-08
raw_rate_const,rate_const_036,36,"AR4SPM>AR4P,3D,5S,5P",-1.1161235160573815,-0.4743360770822287,9.523861157590539e-08,1.759475965719212e-07
raw_rate_const,rate_const_037,37,"AR4SPM > AR4D,6S,RYD",-0.6752661029988699,-0.9864501101507828,1.8978435265516923e-08,3.119490467980295e-08
raw_rate_const,rate_const_038,38,AR4SPM > AR^,0.09481270242225756,-0.9126839566640523,3.123204709161706e-08,4.235529432431855e-08
raw_rate_const,rate_const_039,39,AR4SPR-ELASTIC,-0.5076019015590669,-0.5856263902776004,2.4830368125088314e-07,6.384211822660097e-07
raw_rate_const,rate_const_040,40,AR4SPR > AR3S,0.0,0.0,7.849001918522887e-10,1.5017701642036123e-09
raw_rate_const,rate_const_041,41,AR4SPR > AR4SM,0.0,0.0,2.159322439236004e-09,3.32271921182266e-08
raw_rate_const,rate_const_042,42,AR4SPR > AR4SR,0.0,0.0,2.159322439236004e-09,3.32271921182266e-08
raw_rate_const,rate_const_043,43,AR4SPR > AR4SPM,1.5872904152971745,0.7007651984159664,4.57127638643005e-08,4.4417668308702787e-08
raw_rate_const,rate_const_044,44,"AR4SPR>AR4P,3D,5S,5P",-1.1611517510972666,-0.40176782500312314,1.0874692656329295e-07,2.0325336504334982e-07
raw_rate_const,rate_const_045,45,"AR4SPR > AR4D,6S,RYD",-0.7025480484055382,-0.966253173562083,1.9755462413855407e-08,3.271260719211823e-08
raw_rate_const,rate_const_046,46,AR4SPR > AR^,0.04418062511954914,-0.949486374610319,3.3102164746324694e-08,4.548648791180624e-08
raw_rate_const,rate_const_047,47,AR4P-ELASTIC,-0.7686804265196154,-0.4282298619137199,2.91693189125239e-07,6.132614778325123e-07
raw_rate_const,rate_const_048,48,AR4P > AR3S,0.0,0.0,3.110803760330913e-10,7.622131362889983e-10
raw_rate_const,rate_const_049,49,AR4P > AR4SM,-1.3557814027978892,0.020325093283986018,2.1631060498306852e-08,4.7205620689655176e-08
raw_rate_const,rate_const_050,50,AR4P > AR4SR,-1.3678952237844868,0.04740447995804642,1.3895910076176254e-08,3.0561287356321847e-08
raw_rate_const,rate_const_051,51,AR4P > AR4SPM,-1.384821402519345,0.08622911646158515,5.097293801372718e-09,1.1336563875205254e-08
raw_rate_const,rate_const_052,52,AR4P > AR4SPR,-1.4045161497984537,0.13275843237547447,1.7085906540647473e-08,3.8517285714285714e-08
raw_rate_const,rate_const_053,53,"AR4P > AR4D,6S,RYD",-0.9402714641609278,-0.7182887457556686,6.523354966528358e-08,1.1521296072796469e-07
raw_rate_const,rate_const_054,54,AR4P > AR^,-0.46729170678211285,-1.0768785047964504,6.448906188107318e-08,1.0078692914614122e-07
raw_rate_const,rate_const_055,55,AR4D-ELASTIC,-1.107611390409678,-0.30817649315599605,3.5545737590414413e-07,7.580283579638753e-07
raw_rate_const,rate_const_056,56,AR4D > AR3S,0.0,0.0,2.612525339407123e-11,4.931084729064039e-11
raw_rate_const,rate_const_057,57,AR4D > AR4SM,-1.4255973072198598,0.19702586765827945,6.1764233768179344e-09,1.4057783251231528e-08
raw_rate_const,rate_const_058,58,AR4D > AR4SR,-1.4244435426160214,0.19435273284754473,3.769393766454465e-09,8.563777832512314e-09
raw_rate_const,rate_const_059,59,AR4D > AR4SPM,0.0,0.0,1.2867467311600495e-09,2.916217569786535e-09
raw_rate_const,rate_const_060,60,AR4D > AR4SPR,-1.4216194460620162,0.18743164608085738,3.968117075205768e-09,8.968333004926109e-09
raw_rate_const,rate_const_061,61,"AR4D > AR4P,3D,5S,5P",-1.3796362770107213,0.08495653669439074,1.1724930400941706e-08,2.5081614121510673e-08
raw_rate_const,rate_const_062,62,AR4D > AR^,-1.224624873346716,-0.3250377767805155,3.3483634209741574e-07,6.314401721633826e-07
raw_rate_const,rate_const_063,63,AR+ -ELASTIC,1.9200669229893443,2.0883071391720485,0.0014599241007203182,0.0006926595254515599
raw_rate_const,rate_const_064,64,AR+ -RECOMBINATION,0.0,0.0,6.331906426778935e-13,5.15231527093596e-13
raw_rate_const,rate_const_065,65,AR+ IONIZATION,0.0,0.0,9.652024523053928e-10,2.989244476741403e-10
raw_rate_const,rate_const_066,66,AR2+ -MOMTIC,1.9200669229893443,2.0883071391720485,0.0014599241007203182,0.0006926595254515599
raw_rate_const,rate_const_067,67,AR2+ -RECOMBINATION,1.6878185029306283,1.0370374997470773,2.9595949855160034e-07,2.4082477832512314e-07
raw_rate_const,rate_const_068,68,H -ELASTIC,-0.9077946044084954,0.01108794353919107,2.5346814391682576e-08,1.1260927750410509e-07
raw_rate_const,rate_const_069,69,H > H*,2.1484859561805623,4.063492456529245,2.713724622568597e-09,1.7745396500290639e-09
raw_rate_const,rate_const_070,70,H > H**,0.0,0.0,3.979823077012571e-10,2.2080456639623757e-10
raw_rate_const,rate_const_071,71,H > H***,0.0,0.0,1.316603416629239e-10,6.866207511862071e-11
raw_rate_const,rate_const_072,72,H > H+,0.0,0.0,1.3799730181935678e-09,6.153023746625944e-10
raw_rate_const,rate_const_073,73,H* -ELASTIC,-0.7840668458906656,-0.5309752955705713,8.040596628040898e-08,2.122718062397373e-07
raw_rate_const,rate_const_074,74,H*  > H,-0.9489177733357754,-0.4524344389994459,8.578851153042165e-09,1.789234482758621e-08
raw_rate_const,rate_const_075,75,H*  > H**,-0.975655121778895,-0.6779293161040951,2.7744128176638244e-08,4.9403370568069126e-08
raw_rate_const,rate_const_076,76,H*  > H***,-0.6781744739870864,-0.9511031217019585,1.4415828453136292e-08,2.3870371247947455e-08
raw_rate_const,rate_const_077,77,H*  > H^,-0.29111551545297154,-1.0840291399692321,5.0267283566265186e-08,7.520595224466338e-08
raw_rate_const,rate_const_078,78,H+ -ELASTIC,1.9200669229893443,2.0883071391720485,0.0014599241007203182,0.0006926595254515599
raw_rate_const,rate_const_079,79,H+ -RECOMBINATION,0.0,0.0,8.2990132984762e-13,6.752972085385879e-13
raw_rate_const,rate_const_080,80,H- -ELASTIC,1.9200722333295,2.08832877901094,0.001459913657672915,0.0006926818374384236
raw_rate_const,rate_const_081,81,H- -DETACHMENT,0.07372695355938946,-0.7897689291041576,1.884897734032693e-07,2.6483963438116104e-07
raw_rate_const,rate_const_082,82,H2-ELASTIC,-1.424532475054994,0.39086221436544255,3.1561431357311554e-08,7.909410509031198e-08
raw_rate_const,rate_const_083,83,H2-ROTATIONAL (0-2),-1.2953332079777315,-0.12727994973504497,7.422688430876433e-09,1.4640766223316913e-08
raw_rate_const,rate_const_084,84,H2-ROTATIONAL (1-3),-1.289834013677699,-0.14057946556367273,4.292114728415824e-09,8.427149835796388e-09
raw_rate_const,rate_const_085,85,H2 > H2(V=1),0.0,0.0,1.2101842336894874e-09,2.2704808887265234e-09
raw_rate_const,rate_const_086,86,H2 > H2(V=2),0.0,0.0,9.79273156968767e-11,1.771530800668532e-10
raw_rate_const,rate_const_087,87,H2 > H2(b 3 SIGMA),0.0,0.0,7.566690905031436e-10,7.054123125008209e-10
raw_rate_const,rate_const_088,88,H2 > H2(c 3 PI),0.0,0.0,5.475101080034987e-10,4.959127794538626e-10
raw_rate_const,rate_const_089,89,H2 > H + H,0.0,0.0,2.7909648704661287e-09,2.7224657447454844e-09
raw_rate_const,rate_const_090,90,H2 > H2+,0.0,0.0,1.572892657741656e-09,6.367294367224205e-10
raw_rate_const,rate_const_091,91,H2 > H*(ALPHA),0.0,0.0,1.9839675389151448e-11,8.922665818966062e-12
raw_rate_const,rate_const_092,92,H2 > H + H,0.0,0.0,1.2920458179693497e-09,7.671759251008161e-10
raw_rate_const,rate_const_093,93,H2* -ELASTIC,-1.4658380962342659,0.45885713862100985,3.165896516743284e-08,7.969062397372743e-08
raw_rate_const,rate_const_094,94,H2*  > H2,0.0,0.0,2.546029887957678e-09,5.7220876847290636e-09
raw_rate_const,rate_const_095,95,H2*  > H2^,1.170666176298594,0.8497717716622422,1.0417917759200294e-08,1.0257390829228243e-08
raw_rate_const,rate_const_096,96,H2+ -ELASTIC,1.9200669270150408,2.0883071553413304,0.001459924093014794,0.0006926595418719211
raw_rate_const,rate_const_097,97,H2+ > H+ + H,-1.4457380744600639,0.256585274500996,3.783568103413589e-08,9.888067323481115e-08
raw_rate_const,rate_const_098,98,H2+ > H + H,1.632154994142986,0.8479437980548346,4.97655634981643e-08,4.5570935960591135e-08
raw_rate_const,rate_const_099,99,H2+ > H+ + H-,0.0,0.0,1.8761863500450861e-10,2.0697229885057473e-10
raw_rate_const,rate_const_100,100,H3+ -ELASTIC,1.9200670754799747,2.0883077541651733,0.0014599238065890728,0.0006926601527093596
raw_rate_const,rate_const_101,101,H3+ > H+ + H,2.8580902154341112,7.434540418632217,1.387312516203273e-08,6.261488409594111e-09
raw_rate_const,rate_const_102,102,H3+ > H + H2,1.6328847064060086,0.8684258072997677,5.936144304429081e-08,5.972024630541873e-08
raw_rate_const,rate_const_103,103,H3+ > H2 + H,0.0,0.0,1.2645599989024387e-09,6.808100492610838e-10
raw_rate_const,rate_const_104,104,H3+ > H + H + H,0.0,0.0,3.161370963692129e-09,1.7020159277504105e-09
raw_rate_const,rate_const_105,105,H3+ > H^ + H + H,0.0,0.0,2.0935774214227968e-10,8.799356179784899e-11
raw_rate_const,rate_const_106,106,OH-MOM TRANS,-1.3965654230187583,0.34428935953382656,7.471878186989533e-08,1.6530256486042693e-07
raw_rate_const,rate_const_107,107,OH-V1,0.1794588257852172,1.1205802476233329,2.613396811871771e-09,4.47015976617423e-09
raw_rate_const,rate_const_108,108,OH-A1PI,1.8465717287490462,2.9238514900759487,2.802036561117451e-09,2.110443871376026e-09
raw_rate_const,rate_const_109,109,OH-DISSOC,0.0,0.0,1.6526422661179588e-09,8.110291199669954e-10
raw_rate_const,rate_const_110,110,OH-C1SIGMA,0.0,0.0,2.458214905376435e-10,1.253720838484074e-10
raw_rate_const,rate_const_111,111,OH-E1PI,0.0,0.0,6.670861828661674e-11,2.5797910808883897e-11
raw_rate_const,rate_const_112,112,OH-B1SIGMA,0.0,0.0,1.0535073569921264e-10,5.4795684611665345e-11
raw_rate_const,rate_const_113,113,OH-I1SIGMA,0.0,0.0,7.79059667087878e-11,6.571950688848933e-11
raw_rate_const,rate_const_114,114,OH-D1DELTA,0.0,0.0,3.2654103946095886e-11,2.598754985767415e-11
raw_rate_const,rate_const_115,115,OH-A3PI,-0.6766626051266863,-1.25882031137854,4.5074985513636754e-09,7.018371625615764e-09
raw_rate_const,rate_const_116,116,OH-A3SIGMA,0.0,0.0,8.927824040611028e-10,8.674188492824302e-10
raw_rate_const,rate_const_117,117,OH-D3DELTA,0.0,0.0,1.1712745129455467e-10,1.0345055212003285e-10
raw_rate_const,rate_const_118,118,OH-E3SIGMA,0.0,0.0,5.3328124651935034e-11,5.308193375057471e-11
raw_rate_const,rate_const_119,119,OH-B3SIGMA,0.0,0.0,5.756458944510921e-11,6.102180360825944e-11
raw_rate_const,rate_const_120,120,OH^-X2SIGMA--Not Used,0.0,0.0,0.0,0.0
raw_rate_const,rate_const_121,121,OH^-A2PI--Not Used,0.0,0.0,0.0,0.0
raw_rate_const,rate_const_122,122,OH^-B2SIGMA--Not Used,0.0,0.0,0.0,0.0
raw_rate_const,rate_const_123,123,"OH-DISSOC, C^+O--Not Used",0.0,0.0,0.0,0.0
raw_rate_const,rate_const_124,124,"OH-DISSOC,C+O^--Not used",0.0,0.0,0.0,0.0
raw_rate_const,rate_const_125,125,OH-Ionization,2.8681442470665757,7.4815280015908225,3.150469088634065e-09,1.4184559136681608e-09
raw_rate_const,rate_const_126,126,OH- -MOM,1.9200670088733685,2.088307484644691,0.0014599239358673419,0.0006926598768472906
raw_rate_const,rate_const_127,127,OH- -DETACH,0.3418764740210453,-0.39200385732980747,2.944654283318945e-08,3.921429929885058e-08
raw_rate_const,rate_const_128,128,E + H2O-MOMENTUM TRANSFER,-0.1766147167904463,-0.363467782396357,2.6713434094450042e-08,1.101808866995074e-07
raw_rate_const,rate_const_129,129,E + H2O > H2OV(100) + E,0.0,0.0,1.027232195469772e-09,2.1264861400824223e-09
raw_rate_const,rate_const_130,130,E + H2O > H2OV(010) + E,0.0,0.0,8.53426674177568e-10,2.0329843218390805e-09
raw_rate_const,rate_const_131,131,E + H2O > H2OV(001) + E,0.0,0.0,1.028080972144282e-09,2.1240547553460577e-09
raw_rate_const,rate_const_132,132,E + H2O > H- + OH + E,0.0,0.0,5.046069058466899e-11,8.500929064039408e-11
raw_rate_const,rate_const_133,133,E + H2O > O- + H2 + E,0.0,0.0,9.066117714226295e-12,1.4366026027914612e-11
raw_rate_const,rate_const_134,134,E + H2O > OH- + H + E,0.0,0.0,2.0060207560811176e-12,3.359878577586207e-12
raw_rate_const,rate_const_135,135,E + H2O > OH + H + E,2.472879528958432,5.780056331902129,3.685226994313655e-09,2.3785284692118227e-09
raw_rate_const,rate_const_136,136,E + H2O > O + 2H + E,0.0,0.0,1.701649837049008e-11,6.901907849639245e-12
raw_rate_const,rate_const_137,137,E + H2O > H2O^ + 2E,0.0,0.0,2.0538024267849607e-09,9.050992420197537e-10
raw_rate_const,rate_const_138,138,E + H2O > OH^ + H + E,0.0,0.0,3.940999499854548e-10,1.3582097112807238e-10
raw_rate_const,rate_const_139,139,E + H2O > O^ + 2H + 2E,0.0,0.0,2.3966567740732685e-11,7.149898189614392e-12
raw_rate_const,rate_const_140,140,E + H2O > H2^ + O + E,0.0,0.0,5.69197905474278e-13,1.7427161417108232e-13
raw_rate_const,rate_const_141,141,E + H2O > H^ + OH + 2E,0.0,0.0,1.7649306029467584e-10,5.6052416707804926e-11
raw_rate_const,rate_const_142,142,E + H2O > H + OH(A) + E,0.0,0.0,3.299139172351962e-10,2.888762525712644e-10
raw_rate_const,rate_const_143,143,E + H2O > H(2) [121.6nm] +OH+E,0.0,0.0,4.51717523625529e-11,1.5353931563578606e-11
raw_rate_const,rate_const_144,144,E + H2O > H(3) [656.3nm] +OH+E,0.0,0.0,2.7884124928624444e-11,9.646632327073242e-12
raw_rate_const,rate_const_145,145,E + H2O > H(4) [486.1nm] +OH+E,0.0,0.0,4.737390318110766e-12,1.601346493724239e-12
raw_rate_const,rate_const_146,146,E + H2O >O(3p5P)[777.4nm]+H2+E,0.0,0.0,1.2679582856100478e-12,4.211407356743932e-13
raw_rate_const,rate_const_147,147,E + H2OV-MOMENTUM TRANSFER,-0.17661172856363003,-0.364229920448488,2.6716605162119916e-08,1.1018433497536946e-07
raw_rate_const,rate_const_148,148,E + H2OV(100) > H2O+E x 1e-10,0.0,0.0,2.372762898314846e-19,3.9881674876847287e-19
raw_rate_const,rate_const_149,149,E + H2OV(010) > H2O+E x 1e-10,0.0,0.0,1.4207089778035948e-19,3.206019704433498e-19
raw_rate_const,rate_const_150,150,E + H2OV(001) > H2O+E x 1e-10,0.0,0.0,2.6361602921823294e-19,4.1137651888341545e-19
raw_rate_const,rate_const_151,151,E + H2OV > H- + OH + E,0.0,0.0,5.061947967253259e-11,8.571453201970444e-11
raw_rate_const,rate_const_152,152,E + H2OV > O- + H2 + E,0.0,0.0,9.314243152102399e-12,1.5023687288456487e-11
raw_rate_const,rate_const_153,153,E + H2OV > OH- + H + E,0.0,0.0,2.0374874640039882e-12,3.455742815249589e-12
raw_rate_const,rate_const_154,154,E + H2OV > OH + H + E,2.4166589950848922,5.540582062712666,3.767617821297772e-09,2.5186968714285714e-09
raw_rate_const,rate_const_155,155,E + H2OV > O + 2H + E,0.0,0.0,1.7423947550201472e-11,7.204274138676519e-12
raw_rate_const,rate_const_156,156,E + H2OV > H2O^ + 2E,0.0,0.0,2.1043692038816575e-09,9.491108410970444e-10
raw_rate_const,rate_const_157,157,E + H2OV > OH^ + H + E,0.0,0.0,4.0333956285772965e-10,1.4029912945675815e-10
raw_rate_const,rate_const_158,158,E + H2OV > O^ + 2H + 2E,0.0,0.0,2.452562685401806e-11,7.34210490685183e-12
raw_rate_const,rate_const_159,159,E + H2OV > H2^ + O + E,0.0,0.0,5.817750660043884e-13,1.7877580307833394e-13
raw_rate_const,rate_const_160,160,E + H2OV > H^ + OH + 2E,0.0,0.0,1.806458224640419e-10,5.770581314488666e-11
raw_rate_const,rate_const_161,161,E + H2OV > H + OH(A) + E,0.0,0.0,3.3904106217597053e-10,3.0983856583908044e-10
raw_rate_const,rate_const_162,162,E + H2OV > H(2)[121.6nm] +OH+E,0.0,0.0,4.62438190560143e-11,1.587475103593417e-11
raw_rate_const,rate_const_163,163,E + H2OV > H(3)[656.3nm] +OH+E,0.0,0.0,2.8538834295161667e-11,9.969778980741187e-12
raw_rate_const,rate_const_164,164,E + H2OV > H(4)[486.1nm] +OH+E,0.0,0.0,4.847798731788234e-12,1.6530271863422562e-12
raw_rate_const,rate_const_165,165,E + H2OV>O(3p5P)[777.4nm]+H2+E,0.0,0.0,1.2971242010860678e-12,4.340299367408054e-13
raw_rate_const,rate_const_166,166,E + H2OV > H2O+E (average),0.0,0.0,1.502454144903462e-09,3.4463399014778325e-09
raw_rate_const,rate_const_167,167,H2O+ -MOMTIC,1.9200669229893443,2.0883071391720485,0.0014599241007203182,0.0006926595254515599
raw_rate_const,rate_const_168,168,H2O+ -RECOMBINATION,1.6878185029306283,1.0370374997470773,2.9595949855160034e-07,2.4082477832512314e-07
raw_rate_const,rate_const_169,169,H2O2-MOM,-0.7686804265196154,-0.4282298619137199,2.91693189125239e-07,6.132614778325123e-07
